AREA,CODE
"Abbeville, SC",1795
"Acadia, LA",2166
"Accomack, VA",1694
"Ada, ID",1203
"Adair, IA",2546
"Adair, KY",2075
"Adair, MO",2200
"Adair, OK",879
"Adams, CO",108
"Adams, IA",2796
"Adams, ID",2446
"Adams, IL",1452
"Adams, IN",2024
"Adams, MS",1711
"Adams, ND",2715
"Adams, NE",784
"Adams, OH",808
"Adams, PA",370
"Adams, WA",2254
"Adams, WI",910
"Addison, VT",730
"Aguadilla, PR",2158
"Aiken, SC",259
"Aitkin, MN",1918
"Alachua, FL",1241
"Alamance, NC",1292
"Alameda, CA",16
"Alamosa, CO",991
"Albany, NY",149
"Albany, WY",1652
"Albemarle, VA",376
"Alcona, MI",1960
"Alcorn, MS",2175
"Alexander, IL",2761
"Alexander, NC",721
"Alexandria City, VA",290
"Alfalfa, OK",1131
"Alger, MI",2134
"Allamakee, IA",1005
"Allegan, MI",1343
"Allegany, MD",456
"Allegany, NY",604
"Alleghany, NC",1053
"Alleghany, VA",2093
"Allegheny, PA",23
"Allen, IN",1205
"Allen, KS",2315
"Allen, KY",1866
"Allen, LA",3086
"Allen, OH",355
"Allendale, SC",2744
"Alpena, MI",1732
"Alpine, CA",1154
"Amador, CA",710
"Amelia, VA",2114
"Amherst, VA",777
"Amite, MS",2858
"Anchorage, AK",1221
"Anderson, KS",2139
"Anderson, KY",1846
"Anderson, SC",223
"Anderson, TN",455
"Anderson, TX",1485
"Andrew, MO",2843
"Andrews, TX",2291
"Androscoggin, ME",348
"Angelina, TX",1390
"Anne Arundel, MD",83
"Anoka, MN",139
"Anson, NC",825
"Antelope, NE",2612
"Antrim, MI",1818
"Apache, AZ",468
"Appanoose, IA",1035
"Appling, GA",2567
"Appomattox, VA",2288
"Aransas, TX",1824
"Arapahoe, CO",78
"Archer, TX",2375
"Archuleta, CO",1044
"Arecibo, PR",2151
"Arenac, MI",1920
"Arkansas, AR",934
"Arlington, VA",202
"Armstrong, PA",477
"Armstrong, TX",3051
"Aroostook, ME",1433
"Arthur, NE",2838
"Ascension, LA",1355
"Ashe, NC",821
"Ashland, OH",1512
"Ashland, WI",976
