AREA,CODE
"Aberdeen, SD",855
"Aberdeen, WA",255
"Abilene, TX",347
"Ada, OK",313
"Adrian, MI",222
"Akron, OH",348
"Alamogordo, NM",557
"Albany, GA",447
"Albany, NY",52
"Albany, OR",203
"Albemarle, NC",269
"Albert Lea, MN",698
"Albertville, AL",503
"Albuquerque, NM",51
"Alexandria, LA",450
"Alexandria, MN",316
"Alice, TX",831
"Allentown, PA",58
"Alma, MI",636
"Alpena, MI",700
"Altoona, PA",193
"Altus, OK",809
"Amarillo, TX",349
"Americus, GA",801
"Ames, IA",508
"Amsterdam, NY",780
"Anchorage, AK",98
"Andrews, TX",736
"Angola, IN",687
"Ann Arbor, MI",106
"Anniston, AL",201
"Appleton, WI",350
"Arcadia, FL",683
"Ardmore, OK",609
"Arkadelphia, AR",721
"Arkansas City-Winfield, KS",675
"Asheville, NC",351
"Ashland, OH",590
"Ashtabula, OH",219
"Astoria, OR",668
"Atchison, KS",886
"Athens, GA",147
"Athens, OH",260
"Athens, TN",778
"Athens, TX",243
"Atlanta, GA",9
"Atlantic City, NJ",117
"Auburn, AL",179
"Auburn, IN",795
"Auburn, NY",526
"Augusta, GA",352
"Augusta, ME",198
"Austin, MN",893
"Austin, TX",31
"Bainbridge, GA",849
"Bakersfield, CA",55
"Baltimore, MD",19
"Bangor, ME",167
"Baraboo, WI",266
"Bardstown, KY",632
"Barre, VT",272
"Bartlesville, OK",287
"Bastrop, LA",706
"Batavia, NY",570
"Batesville, AR",672
"Baton Rouge, LA",60
"Battle Creek, MI",183
"Bay City, MI",486
"Bay City, TX",670
"Beatrice, NE",905
"Beaumont, TX",353
"Beaver Dam, WI",237
"Beckley, WV",473
"Bedford, IN",785
"Beeville, TX",871
"Bellefontaine, OH",787
"Bellingham, WA",354
"Bemidji, MN",628
"Bend, OR",355
"Bennettsville, SC",873
"Bennington, VT",314
"Berlin, NH",652
"Big Rapids, MI",635
"Big Spring, TX",866
"Big Stone Gap, VA",739
"Billings, MT",446
"Binghamton, NY",127
"Birmingham, AL",356
"Bismarck, ND",754
"Blackfoot, ID",299
"Blacksburg, VA",154
"Bloomington, IL",433
"Bloomington, IN",445
"Bloomsburg, PA",514
"Bluefield, WV",489
"Blytheville, AR",827
"Bogalusa, LA",293
"Boise City, ID",72
"Boone, IA",708
"Boone, NC",597
"Borger, TX",725
"Boston, MA",10
"Boulder, CO",115
"Bowling Green, KY",165
"Bozeman, MT",509
"Bradford, PA",631
"Brainerd, MN",507
"Branson, MO",239
"Breckenridge, CO",808
"Bremerton, WA",357
"Brenham, TX",688
"Brevard, NC",690
"Brookhaven, MS",909
"Brookings, OR",342
"Brookings, SD",870
"Brownsville, TX",94
"Brownwood, TX",800
"Brunswick, GA",481
"Bucyrus, OH",792
"Buffalo, NY",41
"Burley, ID",634
"Burlington, IA",783
"Burlington, NC",169
"Burlington, VT",358
"Butte, MT",686
"Cadillac, MI",608
"Calhoun, GA",278
"California-Lexington Park, MD",215
"Cambridge, MD",322
"Cambridge, OH",833
"Camden, AR",326
"Campbellsville, KY",717
"Canon City, CO",613
"Canton, IL",902
"Canton, OH",96
"Cape Cod, MA",136
