AREA,CODE
"10th and Page, Charlottesville, VA",13313
"11th Street Bridge, Wilmington, DE",10345
"17th Street Neighborhood Association, Sarasota, FL",13184
"19th Ward, Rochester, NY",2568
"1st Ward, Allentown, PA",11314
"21st Century, Chattanooga, TN",11627
"28 Palms, Fremont, CA",4388
"29th and Chase, Jacksonville, FL",12196
"33rd St. Industrial, Orlando, FL",13083
"39th East, Independence, MO",11421
"40th & A, Lincoln, NE",4200
"441 Corridor, Hollywood, FL",754
"45th and Moncrief, Jacksonville, FL",12109
"5 Points, Sarasota, FL",7534
"50th and France, Edina, MN",14414
"5th SW, Charlottesville, VA",13491
"65th St. West, Little Rock, AR",1524
"6th Ward, Allentown, PA",11313
"8th Ward, Allentown, PA",2423
"9th Ward Area, Wilmington, DE",2215
"A Mountain, Tucson, AZ",4352
"Abbington Park Condos, Nashville, TN",8104
"Abbot Martin Estates, Nashville, TN",13732
"Abbotsford, Nashville, TN",7674
"Abbott Loop, Anchorage, AK",336
"Abbott McKinley, Buffalo, NY",3194
"Abby Place Villas, Fort Wayne, IN",15628
"Abby Trails, Columbus, OH",5077
"Abell, Baltimore, MD",6268
"Abercorn Heights-Lamara Heights-Ridgewood, Savannah, GA",11338
"Abercromby, Durham, NC",9962
"Aberdeen Forest, Sandy Springs, GA",10243
"Aberdeen, Hampton, VA",592
"Abilene Heights, Abilene, TX",10779
"Academy Acres North, Albuquerque, NM",1210
"Academy Baker Ave, Augusta, GA",12702
"Academy Gardens, Philadelphia, PA",2538
"Academy Hills Park, Albuquerque, NM",12579
"Academy Historic District, Statesville, NC",11697
"Academy, Saint Louis, MO",4392
"ACCENT, Des Moines, IA",4295
"Acipco-Finley, Birmingham, AL",11291
"Acklen Avenue Alliance, Nashville, TN",7156
"Acorn, Beaumont, TX",8877
"Acorn, Oakland, CA",5164
"Acre, Lowell, MA",10624
"Acredale, Virginia Beach, VA",1031
"Acres Home, Houston, TX",331
"Acton, Indianapolis, IN",1855
"Adair Park, Atlanta, GA",12266
"Adair Park, Decatur, GA",15188
"Adams Boulevard, Saginaw, MI",11356
"Adams Hill, Glendale, CA",3412
"Adams Hill, San Antonio, TX",12484
"Adams Morgan, WA, DC",2625
"Adams North, San Diego, CA",3361
"Adams Park, Atlanta, GA",12627
"Adams Point, Oakland, CA",3109
"Adams Shore, Quincy, MA",8892
"Adams-Normandie, Los Angeles, CA",9792
"Adamsville, Atlanta, GA",1576
"Addicks Park Ten, Houston, TX",11890
"Adelaide, Federal Way, WA",9262
"Adelaide, Sammamish, WA",8703
"Adelanto, Tucson, AZ",8369
"Admiral, Seattle, WA",690
"Admirals Cove Golf Village, Jupiter, FL",14786
"Admirals Cove, Jupiter, FL",10524
"Admirals, Foster City, CA",10003
"Adobe Hills, Mesa, AZ",8292
"Adobe Meadow - Meadow Park, Palo Alto, CA",5670
"Adventure District, Oklahoma City, OK",11133
"Aetna, Gary, IN",8867
"Afton Oaks - River Oaks Area, Houston, TX",582
"Agate Point, Bainbridge Island, WA",9263
"Aggasiz - Harvard North, Cambridge, MA",3680
"Agritopia, Gilbert, AZ",5674
"Aguajito Oaks, Monterey, CA",14517
"Agustana-USF-Sanford, Sioux Falls, SD",10104
"Ahtanum, Yakima, WA",1190
"Ahwatukee Foothills, Phoenix, AZ",56
"Airmont, Mobile, AL",3962
"Airmont, Ramapo, NY",945
"Airport Acres, Blacksburg, VA",15106
"Airport Estates, Nashville, TN",15625
"Airport Green, Vancouver, WA",7194
"Airport Heights, Anchorage, AK",12458
"Airport Industrial, Edina, MN",15173
"Airport North, Orlando, FL",11986
"Airport, Eau Claire, WI",9551
"Airport, Fort Collins, CO",15256
"Airport, Honolulu, HI",13063
"Airport, Naples, FL",13270
"Airport, Riverside, CA",2875
"Airport, Sacramento, CA",4448
"Airport, Shreveport, LA",901
"Akin Park, Evansville, IN",10834
"Ala Moana-Kakaako, Honolulu, HI",544
"Alabama Hill, Bellingham, WA",5360
"Alabar Hills, Waterloo, IA",11652
"Alafaya, Orlando, FL",1835
"Alameda - West Flagler, Miami, FL",11807
"Alameda Depot, Las Cruces, NM",10780
"Alameda Point, Agoura Hills, CA",11645
"Alameda, Portland, OR",3671
"Alameda-Campus, Tempe, AZ",7271
"Alamitos Beach, Long Beach, CA",599
"Alamitos Heights, Long Beach, CA",4265
"Alamo Farmsteads-Babcock Road, San Antonio, TX",616
"Alamo Heights, Fort Worth, TX",5495
"Alamo Square, San Francisco, CA",3244
"Alamosa, Albuquerque, NM",12506
"Alamosa, Chandler, AZ",7807
"Alandco, Hollywood, FL",13510
"Alanton, Virginia Beach, VA",1152
"Alban Hills, Albuquerque, NM",1394
"Albany Park, Chicago, IL",101
"Albany Terrace, Albany, CA",14854
"Albert Whitted Airport, Saint Petersburg, FL",6579
"Albion Acres, Augusta, GA",12647
"Albright, Buffalo, NY",4472
"Albright, Durham, NC",9317
"Album Park, El Paso, TX",656
"Alcott Park, Milwaukee, WI",5469
"Alcova Heights, Arlington, VA",5291
"Alcove Homeowners Association, Clearwater, FL",15626
"Alcove, Town of Coeymans, NY",13763
"Aldbrige, Winston-Salem, NC",6992
"Alden Bridge, The Woodlands, TX",2250
"Alden Park, Detroit, MI",13435
"Alder Crossing, Renton, WA",13820
"Alderbrook, Federal Way, WA",9869
"Alderbrook, Mobile, AL",5002
"Alderman Park, Jacksonville, FL",12129
"Alderwood Manor, Lynnwood, WA",2606
"Aldrich Heights, Nashville, TN",8195
"Alegre Community, Tempe, AZ",4648
"Alessandro Heights, Riverside, CA",4416
"Alessandro, San Bernardino, CA",4046
"Alexander Ave, Waterbury, CT",2289
